title,jobId,currency,jobUploaded,companyName,tagsAndSkills,experience,salary,location,companyId,ReviewsCount,AggregateRating,jobDescription,minimumSalary,maximumSalary,minimumExperience,maximumExperience
Analytics Technical Specialist,230925507465,INR,10 Days Ago,ALSTOM India Limited,"data extraction,automation,sql queries,data representation,power bi,dashboards,etl process,sql",5-8 Yrs,Not disclosed,Bengaluru,1254544,2982.0,3.7,"Bachelors / Masters degree in Computer Science Engineering /Technology or related field<br><br>Willing to travel occasionally for onsite meetings and team workshops as required<br><br>Able to schedule and refresh jobs on Power BI On-premise data gateway. Configure standard system reports,as well as customized reports as required. <br><br>Experience<br><br>Total 6 years of experience",0.0,0.0,5.0,8.0
Senior Marketing Executive,31025911285,INR,Few Hours Ago,Lexcru Water Tech Pvt.  Ltd,"Marketing,Marketing Strategy,Posters,PPC,Promotions,Newsletters,Digital Marketing,Branding",2-7 Yrs,2-6 Lacs PA,Ahmedabad,125141445,30.0,3.6,"<p><strong>Role Overview</strong></p><br /><p>The Senior Marketing Executive is a strategic and hands-on role, responsible for planning, executing, and optimizing integrated marketing campaigns (both digital and offline) that drive brand awareness, lead generation, customer acquisition, and retention. This role works cross-functionally with sales, product, creative, analytics, and operations to achieve growth targets, measure performance, and continuously improve marketing impact.</p><br /><p><strong>Key Responsibilities</strong></p><br /><ul><li>Develop, implement, and manage integrated marketing campaigns across channels (digital, social, email, events, PR, partnerships, etc.)<br /> </li><li>Define target audiences, positioning, messaging, and value propositions aligned with business goals<br /> </li><li>Coordinate with creative, content, and media teams (in-house or agencies) to produce assets (ads, landing pages, brochures, videos, etc.)<br /> </li><li>Manage performance marketing (SEM, display, social ads, retargeting) and monitor campaign KPIs (CPC, CTR, conversion, ROAS, etc.)<br /> </li><li>Conduct market research, competitor analysis, customer segmentation, and trend tracking to inform marketing strategy<br /> </li><li>Oversee content marketing efforts: blogs, thought leadership, whitepapers, case studies, newsletters<br /> </li><li>Manage and optimize the website / landing pages for SEO, UX, lead capture, and analytics<br /> </li><li>Implement marketing automation tools / CRM campaigns (drip campaigns, nurture flows)<br /> </li><li>Plan and manage events, webinars, trade shows, and promotional activities<br /> </li><li>Prepare regular reports and dashboards on campaign performance, budget use, ROI, and make data-driven recommendations<br /> </li><li>Collaborate with Sales to generate qualified leads, support sales enablement materials, and align marketing efforts with the sales funnel<br /> </li><li>Manage marketing budgets, vendor relationships, and agency coordination<br /> </li><li>Work with cross-functional teams (product, operations, finance) for aligned launches, offers, product updates</li></ul>",200000.0,600000.0,2.0,7.0
Production Engineer,11025013214,INR,2 Days Ago,Upstart Careers,"Production Management,Production Engineering,Production Planning,Fasteners,Production Control,Production Handling,Forgings,Resource Allocation",4-7 Yrs,5-8 Lacs PA,Aurangabad,5317942,,,Control budget & costs Bachelor s in Engineering / Manufacturing (preferred),500000.0,800000.0,4.0,7.0
Customer Service Executive,260925029111,INR,7 Days Ago,Policybazaar,"Customer Service,Solving Queries,Customer Care,Customer Queries,Customer Handling,Query,Handling",0-4 Yrs,2.5-4 Lacs PA,Gurugram(Sector 44),2168812,4952.0,3.7,"<p> </p><p><strong>Interested candidates can share their CV to Zoya Hasan on 9818058256 or can mail on zoyahasan@policybazaar.com</strong></p><p><strong>Job Location - Gurgaon, Haryana </strong></p><p><strong>Salary - 2.5LPA to 4LPA </strong></p><p><strong>Interview Mode - Face2Face</strong></p><br /><p><strong>What would be the roles and responsibilities:</strong></p><p>Providing complete information about the product to the customer. </p><p>Solving all product or service related issues of the customers. </p><p>Preparing the Customer Service Guidelines </p><p>Keeping a Record of the Customers </p><p>Giving the right pitch to the potential customers, so they end up buying the product or availing the services. </p><p>Keeping a proper record of the customers. </p><p>Maintaining and updating the information of the customers regularly. </p><p>Providing the best possible solution to the queries of the customers.</p><p>Making products and services reports by collecting and analyzing the information provided by the customers. </p><br /><p><strong>What we are looking for in a candidate:</strong></p><p>Should be Confident & Dynamic. </p><p>Should have a bent towards Sales. </p><p>Excellent interpersonal and listening skills </p><p>Good persuasion skill. </p><p>Should be efficient in converting customer interest into sales. </p><p>Good negotiation skills. </p><p>Team Player </p><p>Quick learner, creative and achiever. </p><p>Passionate about work output </p><br /><p><strong>Desired Skills and Experience:</strong></p><p>SSC or higher education. </p><p>Fresher or Experience </p><p>Ability to communicate effectively Hindi & English language. </p><p>Basic computer skills. </p><p>What do we offer? </p><p>Amazing work culture. </p><p>Complete Day shift. </p><p>6 Day working </p><p>1 Roster off </p><p>Unlimited Incentives </p><p>Good opportunity for career progression. </p><p>GMC- Group medical coverage</p><p>Gratuity is paid as per applicable law which is over and above total offered CTC</p><br /><p><strong>Regards</strong></p><p><strong>Zoya Hasan</strong></p><p><strong>Hiring Team PolicyBazaar</strong></p><p><strong>9818058256 </strong></p><br />",250000.0,400000.0,0.0,4.0
Online Tutor,31025502778,INR,Few Hours Ago,Jha Home Tuition,"tgt,chemistry,teaching english,biology,mathematics,subject matter expertise,tutoring,teaching",3-6 Yrs,Not disclosed,Khammam,124460346,,,"Jha Home Tuition is looking for Online Tutor to join our dynamic team and embark on a rewarding career journey  <ul> <li> Tutoring:Provide one-on-one or group tutoring sessions to students in specific subjects or courses  </li> <li> Clarify concepts, assist with problem-solving, and offer guidance on assignments  </li> <li> Demonstrations:Conduct practical demonstrations to illustrate theoretical concepts covered in lectures  </li> <li> Utilize laboratory equipment, visual aids, or other teaching tools to enhance understanding  </li> <li> Assessment Support:Assist students in preparing for assessments, including exams, quizzes, and presentations  </li> <li> Review and discuss practice questions or problems to reinforce learning  </li> <li> Feedback and Evaluation:Provide constructive feedback on student performance and offer suggestions for improvement  </li> <li> Collaborate with course instructors to address common challenges and areas of difficulty  </li> <li> Resource Development:Develop additional learning resources, such as handouts, practice problems, or supplementary materials  </li> <li> Recommend or create instructional materials that align with the curriculum  </li> <li> Attendance at Lectures:Attend relevant lectures or classes to stay informed about the course content and teaching methods  </li> <li> Use this knowledge to tailor tutoring and demonstrations to the current curriculum  </li> <li> Communication:Communicate effectively with students, addressing their questions and concerns  </li> <li> Collaborate with faculty, fellow tutors, and other educational professionals as needed  </li> <li> Subject Matter Expertise:Stay updated on advancements in the field of study and maintain a strong understanding of subject matter  </li> <li> Share relevant industry insights and real-world applications  </li> </ul>  Disclaimer: This job description has been sourced from a public domain and may have been modified by Naukri.com to improve clarity for our users. We encourage job seekers to verify all details directly with the employer via their official channels before applying.",0.0,0.0,3.0,6.0
B2B Sales Executive,300925026709,INR,3 Days Ago,Techstay Systems,"SAAS,B2B Sales,B2B,Target Orientation,B2B Lead Generation,Lead generation,Generation,Target",0-2 Yrs,3-6 Lacs PA,Pune,125057859,,,"<p>Responsibilities:</p><p>* Meet revenue targets through effective sales strategies.</p><p>* Generate leads, close deals, and manage existing accounts.</p><p>* Collaborate with marketing team on campaigns and events.</p>

Performance bonus
Sales incentives
Annual bonus",300000.0,600000.0,0.0,2.0
Solution Architect,230925932580,INR,10 Days Ago,Accenture,"presentation skills,sap module,sap implementation,sap native hana,stakeholder management,sap bi,sap,sap business intelligence",12-15 Yrs,Not disclosed,Bengaluru,27117,66727.0,3.7,Educational Qualification : 15 years full time education. Summary :We are looking for a seasoned SAP Learning Specialist with strong SAP implementation experience to design and recommend learning solutions that support client transformation programs<br><br> Must have skills : SAP Native HANA SQL Modeling & Development,0.0,0.0,12.0,15.0
Risk Consulting Supervisor 1 - TRC IT SOX,300925930253,INR,3 Days Ago,RSM US in India,"risk management,project management,internal control,it audit,it general controls,visualforce,erp,information technology",3-5 Yrs,Not disclosed,Gurugram,6296268,276.0,3.4,"Qualification and Minimum Entry Requirements <br><br>Qualified to pursue a job-relevant certification (CISA,CISM,CRISC,CISSP) . Strong Data Analytical skills including advanced Excel skills (VLOOKUPs,pivot tables,and basic formulas),Word and PowerPoint . MS Visio skills to develop process and data flow diagrams . Strong multi-tasking and project management skills .",0.0,0.0,3.0,5.0
Senior Test Engineer,11025012154,INR,2 Days Ago,Stylein Consultancy,"API Testing,LMS,FCR,Loan Management System,Brd,FSD,Fcc,Flexcube",3-6 Yrs,6-9 Lacs PA,Chennai,4779250,,,"Experience: 3+ Years . CTC: 9 LPA . Notice period: Immediate to 30 Days Max . Job type: Full time,Permanent <br><br>Should be able to develop test cases based on the BRD / FSD/Use Cases / User Stories shared<br><br>Should be able to report bug,and track defects for closure<br><br>Should have hands on experience in JIRA",600000.0,900000.0,3.0,6.0
Medical Device Safety Physician,250925932595,INR,8 Days Ago,Gratitude India Manpower Consultants Pvt. Ltd.,"risk assessments,risk management,auditing,quality management,medical devices,fraud control,risk assessment,process improvement",3-7 Yrs,Not disclosed,Chennai,4229094,,,Experience with regulatory requirements and compliance,0.0,0.0,3.0,7.0
"Openings For Sales Manager, Personal Loan (DST Channel)",260525012533,INR,4 Days Ago,SMFG INDIA CREDIT COMPANY,"DST,Unsecured loan,personal loan,business loan,DST team,sales,Channel sales,Team",2-7 Yrs,3-6 Lacs PA,"Perambalur, Pollachi, Chennai",843971,5158.0,3.9,"Qualifications & Experience:  . Education: Graduate (MBA / PG in Sales or Finance preferred).  <br><br>Preferred candidate profile <br><br>Experience: 2 to 6 years in Personal Loan sales with minimum 2 years in DST channel handling .  <br><br>Preferred Background: Banks,NBFCs in unsecured loan divisions.  . CTC: Competitive + Incentives + Allowances (based on experience and location)",300000.0,600000.0,2.0,7.0
"Maintenance Engineer - Immediate ,Chakan kuruli phata",270925008268,INR,6 Days Ago,HR Innovation Group,"Injection Moulding,Plastic,Rubber,MTTR,Rubber Molding,FRP,Rubber Moulding,Compounding",6-11 Yrs,4-6 Lacs PA,"Nashik, Pune(Chakan +1), Aurangabad",6398332,,,Preferred candidate profile,400000.0,600000.0,6.0,11.0
Analyst - US Talent Acquisition,260925504213,INR,7 Days Ago,Stratacent,"IT services,Automation,ISO,Talent acquisition,Staffing,Healthcare,Life sciences,HTTP",5-10 Yrs,Not disclosed,Pune,4594544,26.0,3.4,"Be flexible to pick up additional responsibilities as needed to support organizational needs,such as weekend recruitment events,firmwide events,ISO certification,etc . <br><br>Bachelors degree with 5+ years of experience in IT recruitment,with a preference for in-house recruitment experience<br><br>Excellent communication skills and must be a team player with excellent interpersonal skills",0.0,0.0,5.0,10.0
Senior Software Developer,290925024947,INR,4 Days Ago,Ericsson,"Java,Kafka,React.Js,Angular,Kubernetes,Spring Boot,Microservices,Development",5-10 Yrs,Not disclosed,"Hybrid - Noida, Gurugram, Bengaluru",123852885,7948.0,4.0,"Minimum years of relevant Experience: 5 to 8 years. <br><br>Experience in product development . Education: BE,BTech or Similar .",0.0,0.0,5.0,10.0
System Engineer,11025915814,INR,2 Days Ago,Teleperformance (TP),"operational support,international ticketing,ticketing,amadeus,system engineering,python,strategic sourcing,networking",1-2 Yrs,Not disclosed,Hyderabad,1141,34166.0,3.9,"Must facilitate and monitor all workforce planning issues,including staffing,scheduling and forecasting systems,and policy and procedure<br><br>Has a knowledge base typically acquired from a professional / university degree and approximately 1-2 years of practical professional experience in a particular area",0.0,0.0,1.0,2.0
Franchise Development Manager - Pharmacy,260925010674,INR,7 Days Ago,G R Consultants,"B2B,Franchise Sales,Franchisee Development,Business Expansion,Field Sales,Franchisee Management,Business To Business,Investor Sourcing",3-8 Yrs,Not disclosed,Ahmedabad,7143005,,,"2-10 Yrs in franchise sales, business development, or preferably in [relevant industry e.g., retail, F&B, healthcare, etc.]
 Strong business and financial understanding to explain ROI models,
Proven track record in securing franchise partners.",0.0,0.0,3.0,8.0
Head Operations,290925904061,INR,4 Days Ago,THE Right Connection,"Operations Management,Operational Excellence,Crisis Management,Aviation Regulations,Budget Management,Aviation Operations Management,Stakeholder Management,Aviation",15-20 Yrs,Not disclosed,Mumbai,125067155,,,Bachelors degree in aviation management / related field,0.0,0.0,15.0,20.0
Workforce Analyst,250925901915,INR,8 Days Ago,Gratitude India Manpower Consultants Pvt. Ltd.,"workforce management,real time analysis,mis,rta,wfm,resource management,vendor management,project management",4-6 Yrs,Not disclosed,Mumbai,4229094,,,Experience with workforce management tools and technologies,0.0,0.0,4.0,6.0
Generative AI Manager Google Cloud & Open Source Models,260925029855,INR,7 Days Ago,Ventures Hrd Centre,"Generative Ai,Managerial Skills,Computer Vision,Machine Learning,Deep Learning,Cloud,Vision,Machine",5-9 Yrs,22.5-25 Lacs PA,Gurugram,553021,,,"Lead Generative AI solutions with LLMs, LangChain, Hugging Face, Google Cloud; architect multi-modal systems, RAG, vector databases; , security, stakeholder alignment; mentor teams; drive deployments, product strategy, and enterprise-scale AI.",2250000.0,2500000.0,5.0,9.0
Assistant Maintenance Manager,230925019352,INR,10 Days Ago,Job Join Consultants,"Mechanical Maintenance,Rubber,Breakdown Maintenance,Plant Maintenance,Rubber Moulding,Rubber Technology,Maintenance Engineering,CNC Maintenance",9-14 Yrs,9-10 Lacs PA,Gurugram,4495246,,,"Exp of Rubber industry Mechanical Maintenance 
Plan and execute preventative maintenance schedules to ensure equipment reliability. 
Perform repairs, replacements, and installations of machinery and components.Verify proper functionality of equipment after maintenance work.
Develop and implement maintenance strategies.
Manage maintenance budgets, resources, and spare parts inventory.",900000.0,1000000.0,9.0,14.0
Subject Matter Expert (Assessments),240925503475,INR,9 Days Ago,Ansr Source,"C++,Linux,Cobol,Shell scripting,Perl,Subject Matter Expert,Business intelligence,SDLC",0-1 Yrs,Not disclosed,Bengaluru,1581642,85.0,3.8,"Bachelor s / Master s degree in the relevant subject area or equivalent professional experience<br><br>Conduct a final review of assessments and integrated course materials to ensure a seamless learner experience. <br><br>Prior experience in online learning content development,assessment creation,or academic review",0.0,0.0,0.0,1.0
Junior Engineer,30925016105,INR,6 Days Ago,Robospecies Technologies,"Electronic Components,testing,Electronics,Repair,Multimeter,Soldering,PCB,Software testing",1-2 Yrs,1-2 Lacs PA,Noida,833041,34.0,4.1,"Candidate should have basic knowledge of circuits,attention to detail,and hands-on skills<br><br>Diploma / ITI in Electronics preferred<br><br> Good soldering skills.Basic knowledge of electronic components",100000.0,200000.0,1.0,2.0
Branch Sales Manager || IndiaMart - Coimbatore,60825017343,INR,4 Days Ago,IndiaMART,"Sales,Team Management,Team Handling,New Client Acquisition,Client Onboarding,Lead Generation,B2C Sales,Direct Sales",3-8 Yrs,Not disclosed,Coimbatore,18735,5482.0,3.6,"<p> </p><p><strong>Request you to please share resume-anjali.dhantoliya@indiamart.com</strong></p><br /><p><strong>Roles & Responsibilities-</strong></p><br /><ul><li>Monitor and analyze key regional data (sales, team performance, client status, receivables). Accurately forecast weekly, monthly, quarterly, and annual revenue.</li><li>Identify opportunities, address challenges, create action plans, and ensure sales targets are met.</li><li>Recruit, develop, and retain top talent by providing training, development plans, and regular communication.</li><li>Track performance metrics and boost team productivity. • Drive results through incentive structures and sales promotions.</li><li>Gather market feedback and provide insights for strategy and policy decisions.</li><li>Generate sales opportunities by penetrating targeted accounts.</li><li>Lead daily sales presentations and product demos with the team.</li><li>Ensure timely follow-ups and closure of sales.</li><li>Ensure payment collection as per company terms and adherence to sales processes.</li><li>Conduct regular performance reviews to drive continuous improvement.</li></ul><br /><br />",0.0,0.0,3.0,8.0
Relations Manager,260925500479,INR,7 Days Ago,Sampoorna Consultants,"Engineering services,Performance management,Bfsi,Consulting,Employee engagement,Management consulting,Intellectual property,Wellness",13-18 Yrs,Not disclosed,Hyderabad,1959438,6.0,4.4,"<br /> <div>  <strong> <font color=""#000000"">  Job Description</font> </strong> </div> <div>  Review instances of employee misconduct,  including investigation and recommending disciplinary action weighing the extent of violation,  fairness and local employment laws. <br />  Conducting investigations in reviewing Business Ethics Line matters and conducting local employee investigations<br />  Manage Company level initiatives such as townhalls,  RR and large scale events. <br />  Work closely with HR Business Partner teams for employee wellness initiatives conceptualizing and deployment<br />  Collaborate with HR Business Partners to evaluate and develop effective approaches for implementing new HR policies,  procedures,  processes,  and managing employee relations<br />  Handling a range of employee-related matters,  including POSH,  conflict resolution,  performance management,  policy interpretation,  and employee engagement initiatives.  <br />  Collaborate closely with business leaders to enhance organizational capability by uncovering root causes of challenges and proposing actionable solutions to resolve them<br />  Be the point of escalation for all matters that concern employee relations<br /> </div>",0.0,0.0,13.0,18.0
Assistant Manager,250925509081,INR,8 Days Ago,Flipkart,"project management,media relations,customer service,ms project,program management,business development,inventory,retail",2-4 Yrs,Not disclosed,Bengaluru,1347376,11933.0,3.9,Supporting store manager as needed. Disclaimer : This job description has been sourced from a public domain and may have been modified by Naukri,0.0,0.0,2.0,4.0
IN-Senior Associate _Insurance BA _D&A _Advisory _Gurgaon,260925503366,INR,7 Days Ago,PwC Service Delivery Center,"Data analysis,Data management,Process improvement,Analytical,Trend analysis,Data collection,Data quality,Business intelligence",4-7 Yrs,Not disclosed,Gurugram,1428182,11129.0,3.3,"Degrees / Field of Study required Bachelor of Technology . <br><br>Preferred skill sets . Handson experience in data mapping,data lineage,and data quality assessment<br><br>Degrees / Field of Study preferred <br><br>Required Skills <br><br>Good writing and communication skills",0.0,0.0,4.0,7.0
Application Lead,290925921787,INR,4 Days Ago,Accenture,"application lifecycle management,sap abap development,sap fiori,sap hana,sap abap,sap,performance tuning,data dictionary",15-20 Yrs,Not disclosed,Jaipur,27117,66726.0,3.7,Educational Qualification : 15 years full time education<br><br> Must have skills : SAP ABAP Development for HANA<br><br>Your role will be pivotal in ensuring that applications are not only functional but also meet the highest standards of quality and performance. <br><br> Must To Have <br><br>Skills: Proficiency in SAP ABAP Development for HANA.- Good To Have,0.0,0.0,15.0,20.0
M1 Manager - Program Management,11025503635,INR,2 Days Ago,Payu India,"Change management,Publishing,MS project,Project management,Manager Program Management,Agile,Manager Technology,MS Office",5-7 Yrs,Not disclosed,Gurugram,2254368,529.0,3.4,"Communicate clearly (verbal / written),within the team and external (technical / non-technical) groups . Work with the Business teams for quarterly planning,requirement gathering,product-tech planning,quarterly planning list publishing<br><br>Provide visibility and transparency to the leadership team by participating in reviews and sending updates as required . .",0.0,0.0,5.0,7.0
Openings For International voice process,220925006231,INR,2 Days Ago,Sutherland,"Fluent English,Customer Support,Good Communication In English,Voice,International voice,International voice process,International,Voice process",,Not disclosed,Hyderabad,1188,8060.0,3.5,"<p><strong>Role & responsibilities</strong> </p><p> </p><p><strong>Hiring for International Voice process!!!</strong></p><p>Listening to customers concerns and handling the customer complaints and returns through call, email and chat. </p><p>Giving detailed explanations of services or products.</p><p>*Candidate should be excellent in verbal communication skills </p><p>*Should have good verbal communication skills.</p><p>*Looking for typing speed of 35WPM 90% Accuracy</p><p>*Good to have customer handling skills </p><p>*Should have good knowledge on customer support </p><p>*Graduation mandatory </p><p>*Should be flexible to work from office and night shifts </p><p>*Candidate should be in 25 kms of radius from work location</p><br /><p><strong>Sutherland Global Services</strong></p><p><strong>Sutherland, 7th floor, Divya Sree building, Lanco Hills Technology Park, Lanco Hills Private Rd, Hyderabad, Telangana 500089.</strong></p><br /><p><strong>NOTE: INTERVIEW LOCATION </strong></p><p><strong>Sutherland, 7th floor, Divya Sree building, Lanco Hills Technology Park, Lanco Hills Private Rd, Hyderabad, Telangana 500089.</strong></p><br /><p>For more details Contact<strong> HR Chandana - Mobile No: 9121760690</strong> (12PM-6PM)</p><p>We are looking for individuals and immediate joiners with strong analytical skills, a sense of responsibility, and a commitment to online content quality.</p><p>*Candidates must be within 25kms boundary limit from work location.</p><br /><p>*REGISTER YOUR DETAILS USING THE BELOW LINK:</p><p><strong><u>https://smrtr.io/sPjny</u></strong></p><br /><p> Interested? Contact <strong>HR Chandana Contact:(9121760690)</strong></p><p>Drop your resume or DM for more details!</p><br /><p><strong>Note : Sutherland never requests payment or favors in exchange for job opportunities. Please report suspicious activity immediately to TAHelpdesk@Sutherlandglobal.com</strong></p><br /><br />",0.0,0.0,0.0,2.0
Human Resource Manager-IR,240925022581,INR,9 Days Ago,Mitsu Chem,"Plant Hr,Contract Labour Management,Labour Laws,Union Management,Legal Compliance,Statutory Compliance,HR Manager,Labour Relations",10-17 Yrs,Not disclosed,Khalapur,43352,59.0,3.9,"Bachelors or masters degree in human resources,Business Administration,or related field<br><br>Proven working experience (510 years) as HR Manager or Asst<br><br>Proven working experience (5 10 years) as HR Manager or Asst",0.0,0.0,10.0,17.0
Home Loan Manager | Real Estate,160925018822,INR,7 Days Ago,Stallions Proptech Solutions,"Home Loans,Housing Loan,Housing Finance,loan,HL,Property Loan,Loan Against Property,DSA",3-8 Yrs,3-6 Lacs PA,"Vasai, Virar, Mumbai (All Areas)(Virar +1)",6811247,,,Required to work on weekends,300000.0,600000.0,3.0,8.0
Android Developer,220424003255,INR,8 Days Ago,Easemytrip,"Android Architecture,Mobile Application Development,Kotlin,Android SDK,Android Studio,Mobile Security,Java,Firebase",3-8 Yrs,Not disclosed,"Noida(Sector 63A), Gurugram",438805,569.0,4.0,"Preferred candidate profile:  . <br><br>Must have published at least one original Android app<br><br> . Role & responsibilities:  . Design and Development : Lead the architecture and development of Android applications to ensure a seamless,efficient,and robust user experience<br><br>Experience : Proven software development experience with a strong portfolio in Android skills development",0.0,0.0,3.0,8.0
Vice Principal,250925909277,INR,8 Days Ago,TM International School,"Curriculum Development,Instructional Leadership,school administration,school management,Communication,Communication skills,Development,Instructing",8-10 Yrs,Not disclosed,Bharatpur,4304264,52.0,3.3,"Teachers those are able to speak in English and having sound knowledge of Science.<br /><br /><strong>Responsibilities</strong>: To control, assist & guide to the taught in classes from VI to XII for their upbringing in the Science and Math specially in theory and practicals as per the demand of foundation course, JEE & NEET along with the activity.<br /><br /><strong>Desired profile of the candidate</strong>: Post Graduation with Bed & having the good exposure to take the desired result from taught to achieve their academic excellence and already worked at the level of PGT for good length of time.<br />Guide, assist and control the teachers and students from VI to XII.<br />",0.0,0.0,8.0,10.0
EY GDS Consulting AI and DATA Snowflake Manager,230925507373,INR,10 Days Ago,EY,"neo4j,data modeling,presentation skills,saml,data integration,communication skills,sql,docker",3-8 Yrs,Not disclosed,Hyderabad,1127058,12826.0,3.4,"Core technical stack: Snowflake,Python / PySpark,SQL,identity / security (SAML / OAuth/OIDC,MFA,RBAC),and often Kubernetes / Docker for deployment patterns. Should have strong technical expertise in Neo4j. Data architecture depth: Data modelling,data integration / ETL,batch and streaming pipelines,data quality / profiling/cleansing,MPP designs,and data governance frameworks",0.0,0.0,3.0,8.0
Sales Executive,31025006624,INR,Today,Sharpassets Consultancy,"Sales,Real Estate Sales,Communication Skills,Negotiation,Good English Communication,Noida Jobs,B2C Sales,Sales And Marketing",0-1 Yrs,1.8-3.6 Lacs PA,Noida,125141153,,,"<p>Responsibilities:</p><p>* Generate leads through cold calling and networking</p><p>* Close deals with strong negotiation skills</p><p>* Collaborate on marketing strategies for new projects</p><p>* Manage sales pipeline from prospect to close</p>

Annual bonus
Performance bonus",180000.0,360000.0,0.0,1.0
Application Architect-Oracle Cloud Applications,290925919936,INR,4 Days Ago,IBM,"oic,oracle cloud,application architectures,solution design,solution implementation,c#,oracle,software development",8-13 Yrs,Not disclosed,Hyderabad,16987,24311.0,3.9,Bachelors Degree . <br><br>Masters Degree . <br><br>Required education <br><br>Preferred education <br><br>Required technical and professional expertise . <br><br>Must have full understanding of all project phases and associated deliverables and staffing<br><br>Preferred technical and professional experience . <br><br>Experience in Oracle Cloud Implementation projects,0.0,0.0,8.0,13.0
Senior Associate - Revenue Assurance,250925500938,INR,8 Days Ago,TerraPay,"BPO,Dispute resolution,General accounting,Revenue assurance,MIS,Reconciliation,Healthcare,Operations",2-7 Yrs,Not disclosed,Bengaluru,124650460,105.0,3.5,"Commitment to working the hours required to fulfil the job,including flexibility of working in shifts<br><br>Minimum Graduate with 2 years of experience in Finance sector or BPO industry<br><br> Ad-hoc Support and Audits: Assist in ad-hoc tasks and provide support during audits as required<br><br>We believe payments should be instant,reliable,transparent,seamless,and fully compliant",0.0,0.0,2.0,7.0
HVAC Sen.Design Engineer( Mep consultant exp. required),11025012951,INR,2 Days Ago,Talents Tuner & Businesses,"AutoCAD,Hvac Design,REVIT,Heat Load Calculation,Requisition,Design,MEP,Calculation",10-20 Yrs,Not disclosed,Ahmedabad,123950161,,,"We are seeking a skilled and detail-oriented Sen.HVAC Design Engineer. The ideal candidate will be responsible for designing efficient heating, ventilation, and air conditioning systems for residential, commercial, or industrial projects.",0.0,0.0,10.0,20.0
Junior Mechanical Engineer,300725022660,INR,9 Days Ago,Hindalco Industries,"Hydraulics,Cooling Tower,Rolling Mill,Compressors,Mechanical,Tower,Rolling",2-4 Yrs,1-5 Lacs PA,Dahej,123560493,3648.0,4.2, . Note- Only Diploma graduates from govt polytechnic college are eligible and interested candidates can share their updated CVs to sreelekshmi.nair@adityabirla.com <br><br>To prepare suitable blend as per concentrate availability and furnace requirement in smelter 3 in coordination with PPC,100000.0,500000.0,2.0,4.0
Finance Sr Mgr @ Sanand,210525017388,INR,7 Days Ago,SV Management Consultants,"SAP,Budget Preparation,Forecasting,Balance Sheet,Financial Planning,Finance Control,GL,Finance",10-17 Yrs,20-30 Lacs PA,Sanand,4962,,,CA /ICWA - Qualified with Senior level experience in manufacturing<br><br> experience in MIS reporting is desirable,2000000.0,3000000.0,10.0,17.0
Zonal Manager,180925011650,INR,9 Days Ago,IndiaMART,"Client Servicing,Team Management,People Handling,Cross Selling,Renewals,B2B Sales,Revenue Generation,Churn",7-10 Yrs,Not disclosed,Jaipur,18735,5482.0,3.6,Proven experience in building and managing channel partners and leading large sales acquisition teams,0.0,0.0,7.0,10.0
Record To Report Ops Specialist,230925916883,INR,10 Days Ago,Accenture,"balance sheet,presentation skills,process improvement,ifrs,record to report,financial analysis,forecasting,auditing",7-11 Yrs,Not disclosed,Hyderabad,27117,66727.0,3.7,Skill required: Record To Report - Balance Sheet Account Reconciliations. <br><br>Qualifications: BCom / MCom/Master of Business Administration . Years of Experience: 7 to 11 years,0.0,0.0,7.0,11.0
AEM Business Analyst,300925019042,INR,3 Days Ago,Capgemini,"Aem,Business Analysis,Requirement Gathering,Requirements,Analysis",6-9 Yrs,Not disclosed,"Hybrid - Bengaluru, Delhi / NCR, Mumbai (All Areas)",7053,48684.0,3.7,"Adobe Experience Manager (AEM) Deep understanding of AEM Sites,Assets,Workflows,and Components<br><br>In This Role,You Will Play a Key Role In:  . Collaborating with business stakeholders to understand digital experience goals and translate them into AEM requirements",0.0,0.0,6.0,9.0
Cluster Relationship Manager,31025500562,INR,Few Hours Ago,Catholic Syrian Bank (CSB Bank),"Lead generation,C,Banking,Relationship,government business,Management,banking products,Relationship management",3-7 Yrs,Not disclosed,Kollam,2933178,1555.0,3.2,"Experience: 3 to 7 Years. Qualification: Graduation minimum.  . Acquisition of HNI Govt & Institutional Banking clients eg: Municipal Corporations,State Government Departments,Central Government Departments,Govt",0.0,0.0,3.0,7.0
